laptop_name,price,brand_name,rating,num_to_rate,shiping,save_prec,touch,display,processor,gpu,hdd,ssd
"GIGABYTE AERO 15-X9-9RT4K5MP 15.6"" 4K/UHD IPS Intel Core i9 8th Gen 8950HK (2.90 GHz) NVIDIA GeForce RTX 2070 32 GB Memory 1 TB SSD Windows 10 Pro 64-bit Gaming Laptop",3099.0,GIGABYTE,Rating + 4,363,Free Shipping,,0,"15.6""",i9,RTX 2070,,1 TB SSD
"Lenovo Y50 Touch (59426255) 15.6"" Intel Core i7 4th Gen 4700HQ (2.40 GHz) NVIDIA GeForce GTX 860M 8 GB Memory 8 GB SSD 1 TB HDD Windows 8.1 64-Bit Gaming Laptop",1684.0,Lenovo,Rating + 3,186,Free Shipping,,1,"15.6""",i7,GTX 860,1 TB HDD,8 GB SSD
"MSI GP63 Leopard-013 Gaming Laptop GTX 1060 6 GB i7-8750H  15.6"" Windows 10 Home 64-bit",1530.0,MSI,Rating + 4,156,Free Shipping,,0,"15.6""",i7,GTX 1060,,
"MSI GS Series GS65 Stealth THIN-053 Gaming Laptop GTX 1070 i7-8750H 15.6"" Windows 10 Pro 64-Bit",2499.0,MSI,Rating + 4,155,Free Shipping,,0,"15.6""",i7,GTX 1070,,
"Acer Aspire V15 Nitro Black Edition VN7-591G-70RT 15.6"" IPS Intel Core i7 4th Gen 4720HQ (2.60 GHz) NVIDIA GeForce GTX 960M 8 GB Memory 1 TB HDD Windows 8.1 64-Bit Gaming Laptop",895.0,Acer America,Rating + 4,100,Free Shipping,,0,"15.6""",i7,GTX 960,1 TB HDD,
"Acer Aspire 7 17.3"" IPS FHD 60 Htz  GTX 1060 6 GB VRAM 8th Gen Intel 6-core i7-8750H 16 GB Memory 256 GB SSD Windows 10 Home VR Ready Gaming Laptop A717-72G-700J - ONLY @ NEWEGG",849.0,Acer America,Rating + 4,99,Free Shipping,29%,0,"17.3""",i7,GTX 1060,,256 GB SSD
"Lenovo Y700-17ISK (80Q000C0US) 17.3"" IPS Intel Core i7 6th Gen 6700HQ (2.60 GHz) NVIDIA GeForce GTX 960M 16 GB Memory 128 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",1299.0,Lenovo,Rating + 4,99,Free Shipping,19%,0,"17.3""",i7,GTX 960,1 TB HDD,128 GB SSD
"MSI GL63 15.6"" Full HD Gaming Notebook Computer, Intel Core i7-8750H 2.20GHz, 16GB RAM, 256GB SSD, NVIDIA GeForce GTX 1060 6GB, Windows 10 Home",1099.0,MSI,Rating + 4,92,Special Shipping,23%,0,"15.6""",i7,GTX 1060,,256GB SSD
"DELL Inspiron i7559-2512BLK Gaming Laptop Intel Core i7 6700HQ (2.60 GHz) 8 GB Memory 1 TB HDD 8 GB SSD NVIDIA GeForce GTX 960M 4 GB GDDR5 15.6"" 1920 x 1080 Windows 10 Home 64-Bit",799.0,DELL,Rating + 3,72,$5.40 Shipping,20%,0,"15.6""",i7,GTX 960,1 TB HDD,8 GB SSD
"ASUS N550JX-DS71T 15.6"" IPS 4th Generation Intel Core i7 4720HQ (2.60 GHz) NVIDIA GeForce GTX 950M 8 GB Memory 1 TB HDD Windows 8.1 64-Bit Laptop",1499.0,ASUS,Rating + 3,51,Free Shipping,,0,"15.6""",i7,GTX 950,1 TB HDD,
"ASUS FX504GD-NH51 15.6"" IPS GTX 1050 Intel 8th Gen i5-8300H (2.30 GHz) 8 GB Memory 256 GB SSD Windows 10 Home 64-bit Gaming Laptop -- ONLY @ NEWEGG",669.0,ASUS,Rating + 3,50,Free Shipping,,0,"15.6""",i5,GTX 1050,,256 GB SSD
"ASUS ROG Strix SCAR II Gaming Laptop, 17.3"" 144 Hz IPS-Type Full HD, NVIDIA GeForce RTX 2070 8 GB, Intel Core i7-8750H Processor, 16 GB DDR4 RAM, 512 GB PCIe SSD, RGB KB, Windows 10 - GL704GW-PS74",1780.0,ASUS,Rating + 4,42,Free Shipping,15%,0,"17.3""",i7,RTX 2070,,512 GB PCIe SSD
"ASUS TUF Gaming FX504GE-ES72 15.6"" IPS Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce GTX 1050 Ti 8 GB Memory 256 GB SSD Windows 10 Home 64-Bit Gaming Laptop",988.0,ASUS,Rating + 4,42,Free Shipping,,0,"15.6""",i7,GTX 1050,,256 GB SSD
"Refurbished: Acer Predator Helios 300 G3-571-77QK 15.6"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 256 GB SSD Windows 10 Home 64-Bit Gaming Laptop (Manufacturer Recertified)",949.0,Acer America,Rating + 4,41,Free Shipping,,0,"15.6""",i7,GTX 1060,,256 GB SSD
